"Lon","Lat","District"
-2.52523383576838,36.9794239332081,NA
-2.51978138522327,36.9794239332192,NA
-2.51432893468862,36.9794239332038,NA
-2.50887648432359,36.97942393319,NA
-2.50342403374534,36.9794239331791,NA
-2.49797158327998,36.9794239331994,NA
-2.49251913271186,36.9794239331971,NA
-2.4870666822417,36.9794239331733,NA
-2.48161423177901,36.9794239332112,NA
-2.47616178123182,36.9794239332298,NA
-2.47070933071965,36.9794239332298,NA
-2.46525688027513,36.9794239332124,NA
-2.45980442972439,36.9794239332061,NA
-2.45435197926896,36.9794239332119,NA
-2.44889952873395,36.9794239332033,NA
-2.4434470782791,36.9794239332089,NA
-2.43799462772995,36.979423933202,NA
-2.4325421772875,36.9794239331839,NA
-2.42708972669434,36.9794239331829,NA
-2.42163727627633,36.9794239332273,NA
-2.41618482577574,36.9794239332361,NA
-2.41073237522679,36.9794239332102,NA
-2.40527992474774,36.9794239332054,NA
-2.39982747424677,36.9794239331953,NA
-2.39437502375908,36.979423933181,NA
-2.38892257319273,36.9794239331907,NA
-2.38347012279139,36.9794239331983,NA
-2.37801767225529,36.9794239332044,NA
-2.37256522178501,36.9794239332101,NA
-2.36711277120718,36.9794239331891,NA
-2.36166032080596,36.9794239331971,NA
-2.35620787023969,36.9794239332077,NA
-2.35075541975182,36.9794239331945,NA
-2.34530296920895,36.9794239332133,NA
-2.33985051877133,36.9794239332375,NA
-2.33439806822272,36.9794239332135,NA
-2.32894561776379,36.9794239331969,NA
-2.32349316726222,36.9794239331888,NA
-2.31804071675211,36.97942393319,NA
-2.31258826626802,36.9794239332017,NA
-2.30713581571814,36.9794239331972,NA
-2.30168336526336,36.9794239332049,NA
-2.29623091476996,36.9794239332259,NA
-2.29077846423038,36.9794239332337,NA
-2.28532601376296,36.9794239332292,NA
-2.27987356323453,36.9794239332133,NA
-2.27442111276292,36.9794239331871,NA
-2.26896866225757,36.9794239331788,NA
-2.26351621166859,36.9794239331894,NA
-2.25806376132325,36.9794239331924,NA
-2.25261131075403,36.9794239331887,NA
-2.24715886020396,36.9794239332069,NA
-2.24170640975009,36.9794239332202,NA
-2.23625395925854,36.9794239332297,NA
-2.23080150880601,36.9794239332089,NA
-2.22534905817564,36.9794239332134,NA
